[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Tag[ route_check ] --START--
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Run CheckRoute Behavior [ RunTime:0.001432s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.001568s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Tag[ app_begin ] --START--
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000936s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001038s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | SQL: SHOW COLUMNS FROM `thinklc_article` [ RunTime:0.003825s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | SQL: SELECT COUNT(id) AS tp_count FROM `thinklc_article` WHERE ( (topstatus!=2 OR toptotime<1370185233) AND status=1 AND topnum=1 AND (expired=0 OR expired>=1370185233) ) LIMIT 1   [ RunTime:0.000313s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | SQL: SHOW COLUMNS FROM `thinklc_article_top` [ RunTime:0.003299s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | SQL: SELECT COUNT(id) AS tp_count FROM `thinklc_article_top` WHERE ( Article.topstatus=2 AND Article.toptotime>=1370185233 ) LIMIT 1   [ RunTime:0.001293s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Tag[ view_template ] --START--
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001606s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.001693s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Tag[ view_parse ] --START--
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | NOTIC: [8] Undefined variable: searchkey 2e658b4e477fb88e12382f4634840003.php 第 62 行.
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | NOTIC: [8] Undefined index: area 2e658b4e477fb88e12382f4634840003.php 第 66 行.
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | NOTIC: [8] Undefined index: cate 2e658b4e477fb88e12382f4634840003.php 第 70 行.
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | NOTIC: [8] Undefined index: cate 2e658b4e477fb88e12382f4634840003.php 第 70 行.
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | NOTIC: [8] Undefined index: cate 2e658b4e477fb88e12382f4634840003.php 第 70 行.
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | NOTIC: [8] Undefined variable: page 2e658b4e477fb88e12382f4634840003.php 第 101 行.
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | NOTIC: [8] Undefined variable: list 2e658b4e477fb88e12382f4634840003.php 第 133 行.
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | NOTIC: [8] Undefined variable: page 2e658b4e477fb88e12382f4634840003.php 第 154 行.
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | NOTIC: [2] Invalid argument supplied for foreach() ShowAboutWidget.class.php 第 9 行.
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | NOTIC: [8] Undefined index: type ShowAboutWidget.class.php 第 13 行.
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Run ParseTemplate Behavior [ RunTime:0.063368s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.063640s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Tag[ view_filter ] --START--
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Run ContentReplace Behavior [ RunTime:0.001670s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Run TokenBuild Behavior [ RunTime:0.001973s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001296s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Run ShowRuntime Behavior [ RunTime:0.002537s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008106s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Tag[ view_end ] --START--
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.001059s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Article.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.001186s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ route_check ] --START--
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Run CheckRoute Behavior [ RunTime:0.001399s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.001563s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ app_begin ] --START--
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000954s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001065s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | NOTIC: [8] Undefined index: uc_enable BaseAction.class.php 第 15 行.
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_template ] --START--
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001644s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.001762s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_parse ] --START--
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Run ParseTemplate Behavior [ RunTime:0.019789s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019906s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_filter ] --START--
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Run ContentReplace Behavior [ RunTime:0.000878s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Run TokenBuild Behavior [ RunTime:0.000962s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000703s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000883s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003718s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_end ] --START--
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000987s ]
[ 2013-06-02T23:00:33+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.001085s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ route_check ] --START--
[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Run CheckRoute Behavior [ RunTime:0.001537s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.001674s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ app_begin ] --START--
[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001538s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001661s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | SQL: SHOW COLUMNS FROM `thinklc_article` [ RunTime:0.003836s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | SQL: SELECT COUNT(id) AS tp_count FROM `thinklc_article` WHERE ( catid=4 AND (topstatus=0 OR toptotime<1370185518) AND status=1 AND topnum=1 AND (expired=0 OR expired>=1370185518) ) LIMIT 1   [ RunTime:0.000315s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | SQL: SHOW COLUMNS FROM `thinklc_article_top` [ RunTime:0.003050s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | SQL: SELECT COUNT(id) AS tp_count FROM `thinklc_article_top` WHERE ( catid=4 AND Article.topstatus>0 AND Article.toptotime>=1370185518 ) LIMIT 1   [ RunTime:0.001005s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ view_template ] --START--
