[ 2013-06-03T22:29:09+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-06-03T22:29:09+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001264s ]
[ 2013-06-03T22:29:09+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001423s ]
[ 2013-06-03T22:29:09+08:00 ] / | SQL: SHOW COLUMNS FROM `thinklc_article` [ RunTime:0.004545s ]
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: HTTP_REFERER ArticleAction.class.php 第 48 行.
[ 2013-06-03T22:29:09+08:00 ] / | SQL: SELECT * FROM `thinklc_article` WHERE status = 1  [ RunTime:0.000879s ]
[ 2013-06-03T22:29:09+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-06-03T22:29:09+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001870s ]
[ 2013-06-03T22:29:09+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.001981s ]
[ 2013-06-03T22:29:09+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined variable: searchkey 2e658b4e477fb88e12382f4634840003.php 第 62 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined variable: AREA 2e658b4e477fb88e12382f4634840003.php 第 66 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: cate 2e658b4e477fb88e12382f4634840003.php 第 70 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: cate 2e658b4e477fb88e12382f4634840003.php 第 70 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: cate 2e658b4e477fb88e12382f4634840003.php 第 70 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined variable: AREA 2e658b4e477fb88e12382f4634840003.php 第 93 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined variable: page 2e658b4e477fb88e12382f4634840003.php 第 101 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined variable: infocount 2e658b4e477fb88e12382f4634840003.php 第 142 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: linkurl 2e658b4e477fb88e12382f4634840003.php 第 145 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: detail 2e658b4e477fb88e12382f4634840003.php 第 149 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: detail 2e658b4e477fb88e12382f4634840003.php 第 152 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: areaid 2e658b4e477fb88e12382f4634840003.php 第 155 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: areaid 2e658b4e477fb88e12382f4634840003.php 第 155 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined variable: AREA 2e658b4e477fb88e12382f4634840003.php 第 155 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined variable: infocount 2e658b4e477fb88e12382f4634840003.php 第 160 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: linkurl 2e658b4e477fb88e12382f4634840003.php 第 145 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: detail 2e658b4e477fb88e12382f4634840003.php 第 149 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: detail 2e658b4e477fb88e12382f4634840003.php 第 152 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: areaid 2e658b4e477fb88e12382f4634840003.php 第 155 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: areaid 2e658b4e477fb88e12382f4634840003.php 第 155 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined variable: AREA 2e658b4e477fb88e12382f4634840003.php 第 155 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: linkurl 2e658b4e477fb88e12382f4634840003.php 第 145 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: detail 2e658b4e477fb88e12382f4634840003.php 第 149 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: detail 2e658b4e477fb88e12382f4634840003.php 第 152 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: areaid 2e658b4e477fb88e12382f4634840003.php 第 155 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: areaid 2e658b4e477fb88e12382f4634840003.php 第 155 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined variable: AREA 2e658b4e477fb88e12382f4634840003.php 第 155 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: linkurl 2e658b4e477fb88e12382f4634840003.php 第 145 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: detail 2e658b4e477fb88e12382f4634840003.php 第 149 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: detail 2e658b4e477fb88e12382f4634840003.php 第 152 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: areaid 2e658b4e477fb88e12382f4634840003.php 第 155 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: areaid 2e658b4e477fb88e12382f4634840003.php 第 155 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined variable: AREA 2e658b4e477fb88e12382f4634840003.php 第 155 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: linkurl 2e658b4e477fb88e12382f4634840003.php 第 145 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: detail 2e658b4e477fb88e12382f4634840003.php 第 149 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: detail 2e658b4e477fb88e12382f4634840003.php 第 152 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: areaid 2e658b4e477fb88e12382f4634840003.php 第 155 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: areaid 2e658b4e477fb88e12382f4634840003.php 第 155 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined variable: AREA 2e658b4e477fb88e12382f4634840003.php 第 155 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: linkurl 2e658b4e477fb88e12382f4634840003.php 第 145 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: detail 2e658b4e477fb88e12382f4634840003.php 第 149 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: detail 2e658b4e477fb88e12382f4634840003.php 第 152 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: areaid 2e658b4e477fb88e12382f4634840003.php 第 155 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: areaid 2e658b4e477fb88e12382f4634840003.php 第 155 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined variable: AREA 2e658b4e477fb88e12382f4634840003.php 第 155 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: linkurl 2e658b4e477fb88e12382f4634840003.php 第 145 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: detail 2e658b4e477fb88e12382f4634840003.php 第 149 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: detail 2e658b4e477fb88e12382f4634840003.php 第 152 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: areaid 2e658b4e477fb88e12382f4634840003.php 第 155 行.
[ 2013-06-03T22:29:09+08:00 ] / | NOTIC: [8] Undefined index: areaid 2e658b4e477fb88e12382f4634840003.php 第 155 行.
